	Feature	Coefficient
992	msp_1125	0.0011942260516595732
1655	msp_2273	0.001191294592591887
1679	msp_2307	0.0011876078514225842
1618	msp_2230	0.0011875693720293373
1653	msp_2271	0.0011821621237801446
1683	msp_2315	0.00118111679514182
1395	msp_1697	0.0011809497651174138
40	msp_0043	0.001172402404606145
1866	msp_2629	0.0011665831677379647
163	msp_0176	0.0011646924507760395
476	msp_0517	0.0011618859841663438
1011	msp_1146	0.0011554394680771158
420	msp_0455	0.0011551149628196912
239	msp_0256	0.0011538199801202145
297	msp_0322	0.0011512898140879145
536	msp_0585	0.001138616873290683
679	msp_0751	0.0011349117370943185
1420	msp_1744	0.0011340934106743245
988	msp_1120	0.0011305172642050946
213	msp_0229	0.0011078634747886764
1154	msp_1340	0.0010964330406040056
1082	msp_1240	0.0010964330406040056
562	msp_0617	0.0010964330406040056
587	msp_0642	0.0010964330406040056
712	msp_0787	0.0010964330406040056
1266	msp_1494c	0.0010964330406040056
628	msp_0689	0.001090795716592848
1387	msp_1682c	0.001084898240457579
374	msp_0404	0.0010801299453074092
1871	msp_2636	0.001077269909147179
542	msp_0594	0.001074378453033458
594	msp_0650	0.0010718137837230507
1003	msp_1138	0.0010681319656729168
677	msp_0749	0.0010522783441981492
1640	msp_2257	0.0010521403678132582
1712	msp_2359	0.0010507634760491438
1678	msp_2306	0.0010507634760491438
1877	msp_2649	0.0010507634760491438
1951	msp_2883	0.0010507634760491438
1601	msp_2212	0.0010507634760491438
1853	msp_2599	0.0010507634760491438
1790	msp_2483	0.0010507634760491432
1972	msp_2925	0.0010480098501344712
1594	msp_1793	0.0010446086837363937
1836	msp_2565	0.001038044523591809
429	msp_0464	0.0010301897986532166
1336	msp_1608c	0.001019733018553957
1851	msp_2596	0.0010161157655281198
31	msp_0034	0.0010128360074099397
397	msp_0431	0.0010046510561408806
1905	msp_2728	0.0010043048114562424
1698	msp_2341	0.0009952359862717328
1665	msp_2287	0.0009939535652189893
1398	msp_1700	0.0009870458940741589
448	msp_0487	0.0009869027358543417
393	msp_0426	0.000981455929602293
307	msp_0333	0.0009763385827345876
832	msp_0929	0.0009754954299848609
1813	msp_2524	0.0009640749172742187
1146	msp_1329	0.0009634521715757517
775	msp_0859	0.0009618966137828126
780	msp_0865	0.0009605531582596483
1341	msp_1617	0.0009377222148769221
963	msp_1091	0.0009375458968623113
1123	msp_1295	0.0009375458968623113
1364	msp_1655c	0.0009375458968623113
1585	msp_1523	0.0009375458968623113
1463	msp_1855	0.0009375458968623113
1027	msp_1166	0.0009375458968623113
526	msp_0574c	0.0009375458968623113
387	msp_0419	0.0009169641831313969
1617	msp_2229	0.0009150873295070708
1309	msp_1564	0.0009063394441441144
1962	msp_2909	0.0008923191692126903
92	msp_0098	0.0008659483362385428
739	msp_0818	0.0008611128931384955
1936	msp_2850	0.0008587278213838447
1808	msp_2514	0.0008465794072876074
248	msp_0265	0.0008414926209048703
1725	msp_2376	0.0008379510531683747
347	msp_0375	0.0008374012470563148
527	msp_0575	0.0008366838469022986
953	msp_1077	0.0008320245699293262
1098	msp_1259c	0.000829866326769917
1941	msp_2862	0.000829866326769917
99	msp_0106	0.0008271585636614734
699	msp_0773	0.0008212647381432428
9	msp_0010	0.0008197839415640636
508	msp_0555	0.0008162075098707823
1767	msp_2436	0.0008112490110916716
957	msp_1084	0.0007851402954804275
557	msp_0612	0.000782146669986021
1727	msp_2378	0.0007798163111451509
1319	msp_1579c	0.0007757626465994611
1743	msp_2398	0.0007687271404416864
1736	msp_2391	0.0007670750116859478
1888	msp_2681	0.0007631107294462431
293	msp_0317	0.0007570383403498728
1035	msp_1176	0.0007530474044990799
771	msp_0854	0.0007495469998093224
1977	msp_2931	0.0007465876534771968
1394	msp_1696c	0.0007396182809743288
1803	msp_2509	0.0007367570834569156
1250	msp_1471c	0.0007324174882381951
1422	msp_1747	0.0007242951953282076
560	msp_0615	0.0007233342993620605
14	msp_0015	0.0007186238240650861
483	msp_0527	0.0007151318140733116
1096	msp_1257	0.000712875824889741
1019	msp_1158	0.0007126874658653725
160	msp_0173	0.0007102259306473595
