	Feature	Coefficient
959	msp_1086	0.0013973290090611504
493	msp_0538	0.0013869524046224708
1744	msp_2399	0.0013726479971844327
573	msp_0628	0.0013707114182807498
961	msp_1089	0.0013613273446657166
1734	msp_2389	0.0013612433083571053
135	msp_0144	0.0013532367956936005
1341	msp_1617	0.0013408431031633095
1691	msp_2331	0.0013358599134762528
282	msp_0304	0.001306964611787772
1866	msp_2629	0.0013017184719430498
957	msp_1084	0.0012970685590489787
1944	msp_2868	0.0012932459491096472
423	msp_0458	0.0012691361122360101
1599	msp_1808	0.001266162371430103
1395	msp_1697	0.0012636681417723384
992	msp_1125	0.0012610721427761488
1655	msp_2273	0.0012601390337870885
1387	msp_1682c	0.0012587149440475432
844	msp_0945	0.0012530628400301868
1951	msp_2883	0.001241190132009483
1877	msp_2649	0.001241190132009483
1853	msp_2599	0.001241190132009483
1601	msp_2212	0.001241190132009483
1678	msp_2306	0.001241190132009483
1790	msp_2483	0.001241190132009483
1712	msp_2359	0.001241190132009483
40	msp_0043	0.001232280897533496
1709	msp_2356	0.0012271014115493744
239	msp_0256	0.0012244526103115058
1754	msp_2418	0.0012217547019137858
847	msp_0948	0.0012161822259834259
1687	msp_2322	0.0012107575266114832
1871	msp_2636	0.0011937108372507379
1047	msp_1193	0.0011741611672631967
759	msp_0841	0.0011740990649501733
497	msp_0542	0.0011634876092467188
1668	msp_2292	0.0011500587960102484
1683	msp_2315	0.001147147028028561
1990	msp_2949	0.0011356279550962115
832	msp_0929	0.0011332970266464916
1420	msp_1744	0.0011330616334208703
988	msp_1120	0.0011280100682664312
1107	msp_1274	0.0011141391123417426
1082	msp_1240	0.0011043221750250997
712	msp_0787	0.0011043221750250997
587	msp_0642	0.0011043221750250997
562	msp_0617	0.0011043221750250997
1154	msp_1340	0.0011043221750250997
1266	msp_1494c	0.0011043221750250997
1919	msp_2819	0.0010906216407081627
628	msp_0689	0.0010879389195170028
1653	msp_2271	0.00108760750578659
448	msp_0487	0.001084265643953652
5	msp_0006	0.0010823185097033822
679	msp_0751	0.0010763539683352153
536	msp_0585	0.0010741020082905436
891	msp_1003	0.0010740147219952974
594	msp_0650	0.0010728871867219454
1967	msp_2916	0.0010621435285289708
1594	msp_1793	0.0010452414760242202
542	msp_0594	0.0010330715397345578
374	msp_0404	0.001032034723850027
1786	msp_2478	0.001023311077451274
511	msp_0559	0.0010100760693047088
297	msp_0322	0.0009884649979761727
393	msp_0426	0.0009780838710490142
1463	msp_1855	0.0009694858632691771
1123	msp_1295	0.0009694858632691771
526	msp_0574c	0.0009694858632691771
1364	msp_1655c	0.0009694858632691771
1585	msp_1523	0.0009694858632691771
1027	msp_1166	0.0009694858632691771
963	msp_1091	0.0009694858632691771
775	msp_0859	0.000966235150578498
1905	msp_2728	0.0009523818515935043
677	msp_0749	0.0009462248800817473
1665	msp_2287	0.0009431319125839026
1813	msp_2524	0.000942712003094869
307	msp_0333	0.000940683646595503
1836	msp_2565	0.0009290122660577826
1398	msp_1700	0.0009274014616509922
1698	msp_2341	0.0009218680625173822
699	msp_0773	0.0009171310684607186
1702	msp_2345	0.0008865271930181141
31	msp_0034	0.0008828706738116796
1336	msp_1608c	0.0008814830898074803
1003	msp_1138	0.0008807609463861607
1645	msp_2262	0.0008775028758097912
163	msp_0176	0.0008727574664249875
1750	msp_2408	0.0008700709814459656
1972	msp_2925	0.0008633345164508737
420	msp_0455	0.000858635196591904
739	msp_0818	0.0008555359866479276
387	msp_0419	0.0008523808349154311
1851	msp_2596	0.0008503544968023869
1936	msp_2850	0.0008477873760964185
429	msp_0464	0.0008437879783425313
1146	msp_1329	0.0008364893013096966
1309	msp_1564	0.0008230807905981483
9	msp_0010	0.0008188279823347597
1692	msp_2332	0.0008056171337066037
293	msp_0317	0.0008002803582512613
527	msp_0575	0.0007995511128365701
195	msp_0209	0.0007956074405401454
557	msp_0612	0.000782373010419732
1888	msp_2681	0.0007654692301364966
